prediction	path	correct_label
 عندما يمعوا المساعدة في المساعدة جاكة، يجب أن يكون مخيطة في المساعدة.	en_test_0/common_voice_en_1742051.mp3	When he saw the storm clouds in the sky, Jaka wished he would have remembered his umbrella.
 It continues as a toe-light until it's turn and your son.	en_test_0/common_voice_en_27530283.mp3	It continues as a tollway until its terminus in Hillside.
 I am the King of Salam, the old man had said.	en_test_0/common_voice_en_167886.mp3	I'm the king of Salem, the old man had said.
 The furnishings were typical for the era.	en_test_0/common_voice_en_33428221.mp3	The furnishings were typical for the era.
 He has been an invited speaker at numerous universities and creative platforms.	en_test_0/common_voice_en_33508683.mp3	He has been an invited speaker at numerous universities and creative platforms.
 Before the boy could reply a butterfly appeared and fluttered between him and the old man.	en_test_0/common_voice_en_209659.mp3	Before the boy could reply, a butterfly appeared and fluttered between him and the old man.
 Paper scales are right with much care.	en_test_0/common_voice_en_17270633.mp3	Paper is scarce, so write with much care.
 He's so focused to specialize in seven right cases.	en_test_0/common_voice_en_30561365.mp3	He soon focused to specialize in civil rights cases.
 سنحب أسباني الله بأسفان	en_test_0/common_voice_en_31688642.mp3	Sinha was born in Allahabad.
 The United States Championship was then deactivated.	en_test_0/common_voice_en_22604032.mp3	The United States Championship was then deactivated.
 You call this a happy family?	en_test_0/common_voice_en_531823.mp3	You call this a happy family?
 It's a year-round known profit wellness camp for children and adults.	en_test_0/common_voice_en_25299433.mp3	It is a year-round, non-profit wellness camp for children and adults.
 Why, bless my soul.	en_test_0/common_voice_en_17740261.mp3	Why, bless my soul!
 The kill flows through the country from north to south.	en_test_0/common_voice_en_19198843.mp3	The Kyll flows through the county from north to south.
 It is therefore often also called a free algebra.	en_test_0/common_voice_en_18849783.mp3	It is therefore often also called a free algebra.
 The 4 rail method is used because the gauges are close together.	en_test_0/common_voice_en_22782257.mp3	The four-rail method is used because the gauges are close together.
 Battles may last for a long time, perhaps in years.	en_test_0/common_voice_en_125479.mp3	The battles may last for a long time, perhaps even years.
 The moment my way in contrast tends to remain closer to its breathing grounds.	en_test_0/common_voice_en_24258146.mp3	The Marbled Murrelet, in contrast tends to remain closer to its breeding grounds.
 Parasetamol should get rid of that pain.	en_test_0/common_voice_en_11164202.mp3	Paracetamol should get rid of that pain.
 Another meaning of Samaritan is Maverick.	en_test_0/common_voice_en_25031275.mp3	Another meaning of 'samorost' is maverick.
 Rough Maxwell, Lewis was born in New York City.	en_test_0/common_voice_en_20484959.mp3	Ralph Maxwell Lewis was born in New York City.
 Vigory presents Conredge, Sounded by Akanthes, Oilage	en_test_0/common_voice_en_31610619.mp3	The recumbent figure represents Conrad surrounded by acanthus foliage.
 He came to understand its touches and tricks and to accept it as it was.	en_test_0/common_voice_en_620996.mp3	He came to understand its dodges and tricks, and to accept it as it was.
 The darkest hour is before the dawn.	en_test_0/common_voice_en_136405.mp3	The darkest hour is before the dawn.
 Chiromi of Waterman, Abe and Isaac's nephew became president.	en_test_0/common_voice_en_23598834.mp3	Jerome A. Waterman, Abe and Isaac's nephew, became president.
これがコネクトのブレアを使っている	en_test_0/common_voice_en_21567727.mp3	It is connected by bridge to East Burra.
 But in another moment he was beside here.	en_test_0/common_voice_en_19974059.mp3	But in another moment he was beside her.
 The analogy with an automobile ignition key is close, thus the name.	en_test_0/common_voice_en_35297710.mp3	The analogy with an automobile ignition key is close, thus the name.
 Very well, she's sad.	en_test_0/common_voice_en_17248151.mp3	Very well, she said.
 Hom iswa daat is.	en_test_0/common_voice_en_17761046.mp3	Home is where the heart is.
