prediction	path	correct_label
 I was impatient to see it opened.	en_test_0/common_voice_en_537507.mp3	I was impatient to see it opened.
 Most of the population lives in the city.	en_test_0/common_voice_en_19537264.mp3	Most of the population lives in the city.
 The other is at ground level in new town plaza.	en_test_0/common_voice_en_28658931.mp3	The other is at ground level in New Town Plaza.
 She is married and has a son.	en_test_0/common_voice_en_26979876.mp3	She is married and has a son.
 The factory was located in University.	en_test_0/common_voice_en_30449402.mp3	The factory was located in Ybor City.
 The held onto this information has something to frighten themselves with.	en_test_0/common_voice_en_27386395.mp3	They held onto this information as something to frighten themselves with.
 Other meanings derive from these by extension.	en_test_0/common_voice_en_19451693.mp3	Other meanings derive from this by extension.
 Many important historians and teachers were born in this family.	en_test_0/common_voice_en_32641853.mp3	Many important historians and teachers were born in this family.
 I know how they feel.	en_test_0/common_voice_en_185142.mp3	I know how they feel.
 The vortex was out of alignment.	en_test_0/common_voice_en_80240.mp3	The vertex was out of alignment.
 This was a lie and they all knew it.	en_test_0/common_voice_en_17287522.mp3	This was a lie, and they all knew it.
 A couple of years later he was involved in another project.	en_test_0/common_voice_en_22775152.mp3	A couple of years later, he was involved in another project.
 Pumper repeatedly stated his wish to be signed to G unit.	en_test_0/common_voice_en_27644223.mp3	Pumper repeatedly stated his wish to be signed to G-Unit.
 A woman plays in the wine with a furry brown dog.	en_test_0/common_voice_en_636879.mp3	A woman plays in the wind with a furry brown dog
 He was able to get on his knees, but he quickly slipped back.	en_test_0/common_voice_en_176974.mp3	He was able to get on his knees, but he quickly slipped back.
 It's important to me to keep the Internet healthy.	en_test_0/common_voice_en_421371.mp3	It’s important to me to keep the Internet healthy.
 Nobody knows how to resist infection.	en_test_0/common_voice_en_31541363.mp3	Nobody knows how to resist infection.
 Jai Khol's Hid and Nancy's wedding on Valentine's Day, the anniversary of the Kajdev.	en_test_0/common_voice_en_19672780.mp3	Jake holds his and Nancy's wedding on Valentine's Day, the anniversary of Becca's death.
 The tour by taking to a new buyer military camp.	en_test_0/common_voice_en_82325.mp3	The two were taken to a nearby military camp.
 Grand pre-motocycle racing season.	en_test_0/common_voice_en_33389893.mp3	Grand Prix motorcycle racing season.
 I'm an old, superstitious Arab, and I believe in our Proverbs.	en_test_0/common_voice_en_93228.mp3	I'm an old, superstitious Arab, and I believe in our proverbs.
 The Medieval is white.	en_test_0/common_voice_en_32858927.mp3	The medulla is white.
 The aim of the program was to double the number of fighter squadrons.	en_test_0/common_voice_en_32762052.mp3	The aim of the programme was to double the number of fighter squadrons.
 The Orland M space suit was used by Cosmonauts in the Mir space station.	en_test_0/common_voice_en_24782898.mp3	The Orlan-M space suit was used by cosmonauts in the Mir space station.
 Sorry, site.	en_test_0/common_voice_en_484915.mp3	A sorry sight
 We need to be confident all of us.	en_test_0/common_voice_en_17253767.mp3	We need to be confident, all of us.
 I don't like seals anyhow.	en_test_0/common_voice_en_117434.mp3	I don't like seals anyhow.
 The area south to the 10-degree channel comes under car and Nico bar and quarters.	en_test_0/common_voice_en_37197648.mp3	The area south to the Ten-degree channel comes under Car Nicobar headquarters.
 He is said to have attendants and John's College, Cambridge.	en_test_0/common_voice_en_21599374.mp3	He is said to have attended Saint John's College, Cambridge.
