prediction	path	correct_label
 The route would then go west to the Tonowando Railroad at Batavia.	en_test_0/common_voice_en_26717744.mp3	The route would thence go west to the Tonawanda Railroad at Batavia.
 The vino of the show was corny fisher.	en_test_0/common_voice_en_18898125.mp3	The winner of the show was Connie Fisher.
 Conor Maulick, Medical College was named after him.	en_test_0/common_voice_en_31695388.mp3	Colonel Malek Medical College was named after him.
 Also sought as legislative deputy chief for Addison County.	en_test_0/common_voice_en_33158900.mp3	Also served as legislative deputy chief for Harris County.
 Good point. We're made.	en_test_0/common_voice_en_18534646.mp3	Good point! well made.
 He first attracted significant attention in Sweet Lavender by Arthur Wing Penero.	en_test_0/common_voice_en_25378342.mp3	"He first attracted significant attention in ""Sweet Lavender"" by Arthur Wing Pinero."
 I'm so glad to see you.	en_test_0/common_voice_en_571988.mp3	I'm so glad to see you.
 The existence of gravitational wave at long been predicted.	en_test_0/common_voice_en_2114087.mp3	The existence of gravitational waves had long been predicted.
 I suspect this may be someone new making themselves known.	en_test_0/common_voice_en_17285889.mp3	I suspect this may be someone new making themselves known.
 He was a bard.	en_test_0/common_voice_en_23706929.mp3	He was a barber.
 Good luck on the way.	en_test_0/common_voice_en_17731117.mp3	Good luck on the way.
 Boro Council's man office is at Covert Business Park in Walsand.	en_test_0/common_voice_en_19740242.mp3	The borough council's main office is at Cobalt Business Park in Wallsend.
 I like apples, pears and pomegranates but I do like strawberries or grapes.	en_test_0/common_voice_en_17258430.mp3	I like apples, pears, and pomegranate, but I do like strawberries or grapes.
 Engine worked as a youth team coach at Bolton, Wonders and Poetsmart.	en_test_0/common_voice_en_23125367.mp3	Angell worked as a youth team coach at Bolton Wanderers and Portsmouth.
 Grant quickly accepted.	en_test_0/common_voice_en_23396667.mp3	Grant quickly accepted.
 Three office notable works are of Saint Catherine.	en_test_0/common_voice_en_31700185.mp3	Three of his notable works are of Saint Catherine.
 Navarro finally took over and executed the project.	en_test_0/common_voice_en_32302035.mp3	Navarro finally took over and executed the project.
 One picture is worth a thousand words.	en_test_0/common_voice_en_98619.mp3	One picture is worth a thousand words.
 Remember them to you I wrote with Alice there man.	en_test_0/common_voice_en_656425.mp3	Remember the interview I wrote with Alice Wellman?
 The organization focuses on developing globally accessible techniques for this kind of forming.	en_test_0/common_voice_en_31275921.mp3	The organization focuses on developing globally accessible techniques for this kind of farming.
 The painting currently hangs in the hospital's main art room.	en_test_0/common_voice_en_32075205.mp3	The painting currently hangs in the hospital’s main atrium.
 There was a hole in the concrete.	en_test_0/common_voice_en_18263545.mp3	There was a hole in the carpet.
 The door is recorded as so no un-disconnected online records.	en_test_0/common_voice_en_27270167.mp3	"Bators recorded a solo album, ""Disconnected"", on Line Records."
 I don't want to be a city seeler.	en_test_0/common_voice_en_533211.mp3	I don't want to be City Sealer.
 with this encoding in the small tannic one bits in the whole are possible.	en_test_0/common_voice_en_25338014.mp3	With this encoding not more than eight one bits in a row are possible.
 The single was called Hew and first has sent you back to me.	en_test_0/common_voice_en_19198466.mp3	"The single was called ""Heaven Must Have Sent You Back to Me""."
 Christopher Walls confused.	en_test_0/common_voice_en_10522174.mp3	Christopher was confused.
 The water is brownish in color with a transparency of only 5 feet.	en_test_0/common_voice_en_20231822.mp3	The water is brownish in color with a transparency of only five feet.
 For almost a year they had little else other than the name.	en_test_0/common_voice_en_19958000.mp3	For almost a year they had little else other than the name.
 History and Colleagueire was no clearly defined boundary in the spot of the Arabian Peninsula.	en_test_0/common_voice_en_31667122.mp3	Historically there was no clearly defined boundary in this part of the Arabian peninsula.
